Rank	start1	end1	start2	end2	distance	distance_category_for_control	score_of_target	average_score_in_control	log2_target_control	P-values	FDR
1	0 	4999 	170000 	174999 	170000 	146000-170000	2213	103.6	4.417	1.80E-61	1.95E-57
2	30000 	34999 	42000 	46999 	12000 	11000-13000	161	69.1	1.222	3.73E-11	1.35E-07
3	138000 	142999 	170000 	174999 	32000 	30000-33000	160	92.9	0.783	1.95E-09	4.24E-06
4	76000 	80999 	147000 	151999 	71000 	69000-73000	176	83.2	1.080	2.55E-08	4.62E-05
5	124000 	128999 	147000 	151999 	23000 	21000-26000	167	92.1	0.854	1.43E-06	1.73E-03
6	30000 	34999 	43000 	47999 	13000 	11000-16000	132	63.4	1.062	2.74E-06	2.71E-03
7	11000 	15999 	47000 	51999 	36000 	35000-37000	141	87.8	0.684	3.91E-06	0.003139
8	49000 	53999 	147000 	151999 	98000 	93000-99000	140	78.3	0.844	9.62E-06	0.006153
9	31000 	35999 	139000 	143999 	108000 	105000-111000	157	83.2	0.915	1.02E-05	0.006153
10	139000 	143999 	153000 	157999 	14000 	13000-16000	113	57.5	0.975	2.80E-05	0.013828
11	32000 	36999 	68000 	72999 	36000 	35000-37000	135	87.8	0.624	3.32E-05	0.015685
12	31000 	35999 	169000 	173999 	138000 	127000-146000	188	77.3	1.286	4.80E-05	0.019332
13	9000 	13999 	88000 	92999 	79000 	76000-80000	139	83.3	0.734	1.71E-04	0.037576
14	3000 	7999 	10000 	14999 	7000 	6000-9000	190	119.2	0.671	6.51E-04	0.095659
15	105000 	109999 	148000 	152999 	43000 	40000-45000	130	88.2	0.566	1.23E-03	0.152428
16	11000 	15999 	147000 	151999 	136000 	127000-146000	159	77.3	1.040	2.11E-03	0.220248
17	117000 	121999 	166000 	170999 	49000 	48000-51000	128	88.5	0.532	3.73E-03	0.309751
18	36000 	40999 	90000 	94999 	54000 	53000-56000	125	85.9	0.544	4.61E-03	0.358246
19	11000 	15999 	117000 	121999 	106000 	105000-111000	125	83.2	0.591	7.42E-03	0.451836
20	10000 	14999 	77000 	81999 	67000 	66000-69000	117	81.7	0.514	7.32E-03	0.451836
21	31000 	35999 	116000 	120999 	85000 	84000-89000	118	82.4	0.513	1.05E-02	0.534773
22	120000 	124999 	122000 	126999 	2000 	1000-4000	208	129.7	0.679	2.24E-02	0.794959
23	36000 	40999 	56000 	60999 	20000 	18000-21000	100	68.0	0.554	2.86E-02	0.892718
24	37000 	41999 	57000 	61999 	20000 	18000-21000	97	68.0	0.509	4.27E-02	0.901425
25	71000 	75999 	74000 	78999 	3000 	2000-4000	185	131.1	0.500	4.62E-02	0.901425
