file	motifs	min_ml	m6A-within-motifs	motifs-covered-by-m6A	AT-bases-covered-by-motifs	n-of-motifs	m6A-coverage	n-of-m6A-bp
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	159	1.0	0.26247079	1.0	72309.0	0.084613495	310772
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	166	1.0	0.08483401	1.0	3659959.0	0.084613495	310772
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	169	1.0	0.077527112	1.0	3604223.0	0.084613495	310772
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	171	1.0	0.07546665	1.0	3509855.0	0.084613495	310772
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	173	1.0	0.075130195	1.0	3388957.0	0.084613495	310772
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	174	1.0	0.0755898	1.0	3248388.0	0.084613495	310772
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	175	1.0	0.075739567	1.0	3133184.0	0.084613495	310772
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	176	1.0	0.073055393	1.0	3253189.0	0.084613495	310772
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	177	1.0	0.070448349	1.0	3334301.0	0.084613495	310772
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	178	1.0	0.071016581	1.0	3186101.0	0.084613495	310772
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	179	1.0	0.071850436	1.0	3064964.0	0.084613495	310772
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	180	1.0	0.070738766	1.0	3067116.0	0.084613495	310772
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	181	1.0	0.068692814	1.0	3159559.0	0.084613495	310772
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	182	1.0	0.067587525	1.0	3147933.0	0.084613495	310772
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	183	1.0	0.059511681	1.0	3672842.0	0.084613495	310772
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	184	1.0	0.063962913	1.0	3139241.0	0.084613495	310772
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	185	1.0	0.063130081	1.0	3107140.0	0.084613495	310772
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	186	1.0	0.061204168	1.0	3184489.0	0.084613495	310772
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	187	1.0	0.060376783	1.0	3134218.0	0.084613495	310772
PS00228_ML.fiberseq.tbl.gz	All-AT-bp	188	1.0	0.061768945	1.0	2976091.0	0.084613495	310772
